cu_base_index,cu_charge_rt,cu_etn_yn,cu_fund_mgmt_co,cu_index_repl_mthd,cu_index_tracking_yn,cu_inverse_short_yn,cu_lev_fector,cu_strtegy,cu_upt_dt,du_base_dt_match_yn,du_bpr,du_clpr,du_clpr_base_dt,du_clpr_src,du_diff_rt,du_er_1d,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_base_dt,du_opr,du_upt_dt,du_val_1d,du_vol_1d,pd_abrv_nm,pd_curr_cd,pd_exg_mkt_cd,pd_grp_no,pd_isin_cd,pd_itm_no,pd_itm_no_ma,pd_lipper_id,pd_lstg_dt,pd_lst_price,pd_lst_stk_cnt,pd_mkt_id,pd_nm,pd_sale_yn,pd_trd_ccy,pd_tr_yn,pd_us_cik,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt
S&P 1000 TR,0.800000,,First Trust Advisors LP,,,,,"The Fund seeks to provide capital appreciation. Under normal market conditions, the Fund seeks to achieve its investment objective by investing at least 80% of its net assets in small- and/or mid-cap common stocks listed and traded on US national securities exchanges that exhibit low future expected volatility.",20260614,N,37.97580000,37.72130000,20260616,pd65n101.tday_clpr,,0.000000,37.95000000,32280000.00,,37.72130000,2026-06-14 00:00:00,37.95000000,20260616,25692.00000000,677.00000000,HSMV,USD,AMX,ETF,US33741Y1001,HSMV.K,HSMV.K,40229461,20200406,0E-8,850002.00,US,First Trust Horizon Managed Vol Small/Mid ETF,1,USD,0,1424212,37.72130000,677.00000000,,Equity,United States of America,20260614
Amazon.com Inc.,0.750000,,Rafferty Asset Management LLC,,,,,"The Fund seeks daily investment results, before fees and expenses, of 200% of the daily performance of AMZN. The Fund, under normal circumstances, invests at least 80% of its net assets in the securities of AMZN and financial instruments, such as swap agreements and options, that provide leveraged exposure to AMZN.",20260614,N,33.94000000,36.09000000,20260616,pd65n101.tday_clpr,,0.000000,36.56000000,280920000.00,,35.70000000,2026-06-14 00:00:00,35.80000000,20260616,96967466.00000000,2687783.00000000,AMZU,USD,NAS,ETF,US25461A8586,AMZU.O,AMZU.O,40235357,20220906,0E-8,8275001.00,US,Direxion Daily AMZN Bull 2X ETF,1,USD,0,1424958,36.09000000,2687783.00000000,,Alternatives,Global,20260614
Russell 3000 TR,0.140000,,Vanguard Portfolio Management LLC,,,,,"The Fund seeks to provide long-term capital appreciation by investing in stocks with relatively strong recent performance, strong fundamentals, and low prices relative to fundamentals as determined by the advisor. At least 80% of the Fund's assets will be invested in securities issued by US companies.",20260614,N,176.79260000,175.97000000,20260616,pd65n101.tday_clpr,,0.000000,178.19000000,642750000.00,,175.97000000,2026-06-14 00:00:00,178.19000000,20260616,5294201.00000000,29858.00000000,VFMF,USD,AMX,ETF,US9219356071,VFMF.K,VFMF.K,40223321,20180213,0E-8,3810000.00,US,Vanguard US Multifactor ETF,1,USD,0,105563,175.97000000,29858.00000000,,Equity,United States of America,20260614
Ruk Strategic Growth USD,0.500000,,Sound Capital Solutions LLC,Full,Y,,,"""The Fund seeks to track total return performance, before fees and expenses, of the Ruk Strategic Growth Index (the """"Index""""). The Fund invests at least 80% of its net assets in the securities comprising the Index and in investments that have economic characteristics similar to the securities comprising the Index.""",20260614,N,27.09190000,27.43310000,20260616,pd65n101.tday_clpr,,0.000000,27.48000000,2160000.00,27.000000,27.43310000,2026-06-14 00:00:00,27.48000000,20260616,3682.00000000,134.00000000,RKSG,USD,AMX,ETF,US00777X4135,RKSG.K,RKSG.K,40306512,20260406,0E-8,80000.00,US,Ruk Strategic Growth ETF,1,USD,0,1970751,27.43310000,134.00000000,,Equity,United States of America,20260614
S&P SmallCap 600 Growth TR,0.150000,,SSGA Funds Management Inc,Optimized,Y,,,"The Fund seeks to approximate, before expenses, the investment results of the Dow Jones Small Cap Growth Index.  When possible will generally invest in all component stocks of the Index proportionate to their Index weightings.",20260614,N,112.85000000,113.84000000,20260616,pd65n101.tday_clpr,,0.000000,114.60000000,4898300000.00,,113.50500000,2026-06-14 00:00:00,114.15000000,20260616,9910338.00000000,86995.00000000,SLYG,USD,AMX,ETF,US78464A2015,SLYG.K,SLYG.K,40061339,20000925,0E-8,43400028.00,US,State Street SPDR S&P 600 Small Cap Growth ETF,1,USD,0,1064642,113.84000000,86995.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.250000,,Krane Funds Advisors LLC,,,,,The Fund seeks to provide investors with returns that match the total return of the KraneShares CSI China Internet ETF (Underlying ETF) of increases of up to 41.20% (Cap) while providing a Buffer against 90% of decreases in the total return (Buffer). It invests in the Underlying ETF & options including FLEX options.,20260614,N,26.77360000,26.78000000,20260616,pd65n101.tday_clpr,,0.000000,26.80000000,6000000.00,,26.78000000,2026-06-14 00:00:00,26.80000000,20260616,29208.00000000,1090.00000000,KBUF,USD,AMX,ETF,US5007674139,KBUF.K,KBUF.K,40301056,20240207,0E-8,225002.00,US,KraneShares 90% KWEB Defined Outcome Jan 2027 ETF,1,USD,0,1547576,26.78000000,1090.00000000,,Alternatives,China,20260614
Index is not provided by Management Company,0.850000,,Summit Global Investments LLC,,,,,"The Fund seeks to provide long-term capital appreciation. The Fund seeks to achieve its objective by investing at least 80% of the net assets of the portfolio in securities of large-capitalization companies, which the Fund considers to be those companies listed within the Russell 1000 Index or S&P 500 Index.",20260614,N,43.07090000,43.81290000,20260616,pd65n101.tday_clpr,,0.000000,43.96000000,191330000.00,,43.66480000,2026-06-14 00:00:00,43.66480000,20260616,483764.00000000,11023.00000000,SGLC,USD,AMX,ETF,US74933W5931,SGLC.K,SGLC.K,40236331,20230330,0E-8,4440000.00,US,SGI US Large Cap Core ETF,1,USD,0,831114,43.81290000,11023.00000000,,Equity,United States of America,20260614
MSCI USA Small Cap Minimum Volatility TR USD,0.200000,,BlackRock Fund Advisors,Optimized,Y,,,"The Fund seeks to track the investment results of an index composed of small-capitalization US equities that, in the aggregate, have lower volatility characteristics relative to the small-capitalization US equity market. The Fund seeks to track the investment results of the MSCI USA Small Cap Minimum Volatility (USD).",20260614,N,44.84890000,44.73000000,20260616,pd65n101.tday_clpr,,0.000000,45.09000000,283920000.00,,44.66010000,2026-06-14 00:00:00,45.09000000,20260616,270181.00000000,6034.00000000,SMMV,USD,AMX,ETF,US46435G4331,SMMV.K,SMMV.K,40216566,20160907,0E-8,6300000.00,US,iShares MSCI USA Small-Cap Min Vol Factor ETF,1,USD,0,1100663,44.73000000,6034.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.890000,,Tidal Investments LLC,,,,,"The Fund seeks current income. The Fund is an actively managed exchange-traded fund (ETF) that seeks income while providing exposure to the price returns of select U.S. listed equity securities, subject to a dampening of potential investment gains, while also seeking to hedge against significant market downturns.",20260614,N,41.64520000,43.37700000,20260616,pd65n101.tday_clpr,,0.000000,43.50000000,58220000.00,,42.48000000,2026-06-14 00:00:00,42.48000000,20260616,446676.00000000,10327.00000000,EGGS,USD,AMX,ETF,US45259A7954,EGGS.K,EGGS.K,40302915,20241226,0E-8,1400000.00,US,NestYield Total Return Guard ETF,1,USD,0,1722388,43.37700000,10327.00000000,,Alternatives,United States of America,20260614
Index is not provided by Management Company,0.380000,,Massachusetts Financial Services Co,,,,,"The Fund seeks capital appreciation and seeks to achieve the fund's objective by actively identifying potential investments and normally invests at least 80% of the funds net assets in value companies such as foreign equity securities, including emerging market equity securities. The fund pays transaction costs.",20260614,N,25.33710000,25.31040000,20260616,pd65n101.tday_clpr,,0.000000,25.46000000,15710000.00,25.136000,25.31040000,2026-06-14 00:00:00,25.37000000,20260616,194812.00000000,7679.00000000,MIVL,USD,AMX,ETF,US55286W1163,MIVL.K,MIVL.K,40306962,20260603,0E-8,625000.00,US,MFS Active International Value ETF,1,USD,0,2018846,25.31040000,7679.00000000,,Equity,Global Ex US,20260614
ICE Diver US Cash Pay HY Energy TR USD,0.350000,,Bondbloxx Investment Management Corp,Optimized,Y,,,"The Fund seeks to track the investment results of the ICE Diversified US Cash Pay High Yield Energy Index, which consists of US dollar-denominated high yield corporate bonds that contains issuers from the energy sector, including the exploration & production, gas distribution, and oil refining & marketing sub-sectors.",20260614,N,39.19180000,39.10500000,20260515,pd65n101.tday_clpr,,,39.17000000,5960000.00,,39.10500000,2026-06-14 00:00:00,39.17000000,20260516,5797.00000000,148.00000000,XHYE,USD,AMX,ETF,US0978901074,XHYE.K,XHYE.K,40234017,20220215,0E-8,152500.00,US,BondBloxx USD HY Bond Energy Sctr ETF,1,USD,0,1879238,39.10500000,148.00000000,,Bond,United States of America,20260614
S&P Pharmaceuticals Select Industry TR,0.350000,,SSGA Funds Management Inc,Optimized,Y,,,"The Fund seeks to replicate the performance of an index derived from the pharmaceuticals segment of a U.S. total market composite index.  The Fund uses a passive management strategy designed to track the total return performance of the S&P Pharmaceuticals Select Industry Index, which is comprised of 21 stocks.",20260614,N,60.27000000,60.31000000,20260616,pd65n101.tday_clpr,,0.000000,60.86000000,364970000.00,,60.17000000,2026-06-14 00:00:00,60.80000000,20260616,4372299.00000000,72309.00000000,XPH,USD,AMX,ETF,US78464A7220,XPH,XPH,40111241,20060619,0E-8,6050270.00,US,State Street SPDR S&P Pharmaceuticals ETF,1,USD,0,1064642,60.31000000,72309.00000000,,Equity,United States of America,20260614
DORSEY WRIGHT TECHNICAL LEADERS CONS CYC TR USD,0.240000,,Invesco Capital Management LLC,Optimized,Y,,,The Fund seeks investment results that correspond generally to the price and yield (before the Fund's fees and expenses) of an equity index called the Dynamic Consumer Discretionary Sector Intellidex Index.  The Fund will normally invest at least 80% of its total assets in common stocks of consumer companies.,20260614,N,102.65280000,103.66130000,20260616,pd65n101.tday_clpr,,0.000000,103.57500000,23820000.00,,102.89000000,2026-06-14 00:00:00,102.89000000,20260613,52268.00000000,508.00000000,PEZ,USD,NAS,ETF,US46137V8037,PEZ.O,PEZ.O,40109154,20061012,0E-8,230000.00,US,Invesco Dorsey Wright Consumer Cyclicals Mo ETF,1,USD,0,1209466,103.57500000,508.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.390000,,Eventide Asset Management LLC,,,,,"The Fund seeks long-term capital appreciation and achieve its investment objective by investing primarily in the equity securities of US small-capitalization companies. Under normal market conditions, the Fund invests at least 80% of its assets which considers with a market capitalization of less than $20 billion.",20260614,N,30.38000000,30.43000000,20260616,pd65n101.tday_clpr,,0.000000,30.71000000,28180000.00,,30.42000000,2026-06-14 00:00:00,30.71000000,20260616,141862.00000000,4660.00000000,ESSC,USD,AMX,ETF,US86280R1344,ESSC.K,ESSC.K,40304818,20250929,0E-8,930000.00,US,Eventide Small Cap ETF,1,USD,0,1506213,30.43000000,4660.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.750000,,Themes Management Company LLC,,,,,"The Fund seeks to provide approximately twice (2x) the positive share price return of Palantir Technologies Inc. (PLTR or the Underlying Stock) up to an approximate upside limit, while seeking to approximately track the negative share price return of the Underlying Stock, over each full calendar month.",20260614,N,13.27690000,13.95940000,20260616,pd65n101.tday_clpr,,0.000000,13.95940000,530000.00,13.250000,13.50000000,2026-06-14 00:00:00,13.50000000,20260616,8371.00000000,616.00000000,PLOO,USD,AMX,ETF,US88340C5031,PLOO.K,PLOO.K,40304390,20250812,0E-8,40000.00,US,Leverage Shares 2x Capped Acc PLTR Monthly ETF,1,USD,0,1976322,13.95940000,616.00000000,,Alternatives,United States of America,20260614
NYSE FactSet Gbl Atnms Drvng and Elec Vhcl NR USD,0.470000,,BlackRock Fund Advisors,Optimized,Y,,,"The Fund seeks to track the investment results of the NYSE FactSet Global Autonomous Driving and Electric Vehicle Index. The Index is composed of developed and emerging market companies that may benefit from growth and innovation in and around electric vehicles, battery technologies and autonomous driving technologies.",20260614,N,41.22730000,42.10000000,20260616,pd65n101.tday_clpr,,0.000000,42.36000000,150030000.00,41.675000,42.04000000,2026-06-14 00:00:00,42.36000000,20260616,392140.00000000,9305.00000000,IDRV,USD,AMX,ETF,US46435U3665,IDRV.K,IDRV.K,40226254,20190416,0E-8,3600000.00,US,iShares Self-Driving EV and Tech ETF,1,USD,0,1100663,42.10000000,9305.00000000,,Equity,Global,20260614
Index is not provided by Management Company,0.470000,,Capital Research and Management Co,,,,,"The Fund seeks to provide prudent growth of capital and conservation of principal. Under normal market conditions, the fund will invest its assets in common stocks and other equity-type securities around the world that the adviser believes have the potential for growth, many of which have the potential to pay dividends.",20260614,N,34.21000000,34.78000000,20260616,pd65n101.tday_clpr,,0.000000,34.84000000,2761640000.00,,34.69000000,2026-06-14 00:00:00,34.79000000,20260616,13556714.00000000,389833.00000000,CGGE,USD,AMX,ETF,US14020R1077,CGGE.K,CGGE.K,40301075,20240625,0E-8,80884000.00,US,Capital Group Global Equity ETF,1,USD,0,2008374,34.78000000,389833.00000000,,Equity,Global,20260614
Index is not provided by Management Company,0.750000,,Themes Management Company LLC,,,,,"The Fund seeks daily levered investment results, before fees and expenses, of two times (200%) of the daily percentage change in the price of the common stock of SPOT. The Fund will invest in the Underlying Security to provide 200% daily leveraged exposure to the price of SPOT as the Funds investment objective.",20260614,N,6.89790000,6.86550000,20260616,pd65n101.tday_clpr,,0.000000,7.15220000,3880000.00,,6.81000000,2026-06-14 00:00:00,7.01000000,20260616,170403.00000000,24514.00000000,SPOG,USD,NAS,ETF,US88340C7508,SPOG.O,SPOG.O,40305130,20251114,0E-8,560000.00,US,Leverage Shares 2X Long SPOT Daily ETF,1,USD,0,1976322,6.86550000,24514.00000000,,Alternatives,United States of America,20260614
Lipper US Index - Equity Income Funds,0.540000,,T.Rowe Price Associates Inc,,,,,"The Fund seeks a high level of dividend income and long-term capital growth. The Fund will normally invest at least 80% of its assets in common stocks listed in the United States, with an emphasis on large-capitalization stocks that have a strong track record of paying dividends or that are believed to be undervalued.",20260614,N,50.49420000,50.70560000,20260616,pd65n101.tday_clpr,,0.000000,50.91000000,414660000.00,,50.70560000,2026-06-14 00:00:00,50.91000000,20260616,360690.00000000,7093.00000000,TEQI,USD,AMX,ETF,US87283Q2066,TEQI.K,TEQI.K,40230409,20200804,0E-8,8210000.00,US,T Rowe Price Equity Income ETF,1,USD,0,1795351,50.70560000,7093.00000000,,Equity,United States of America,20260614
ICE 0-3 Month US Treasury Securities TR USD,0.090000,,BlackRock Fund Advisors,Optimized,Y,,,"The Fund seeks to track the investment results of the ICE 0-3 Month US Treasury Securities Index, which is composed of US Treasury bonds with remaining maturities of less than or equal to three months. The Fund will invest at least 90% of its assets in the component securities of the Underlying Index.",20260614,N,100.51000000,100.53000000,20260616,pd65n101.tday_clpr,,0.000000,100.53000000,95184630000.00,,100.52000000,2026-06-14 00:00:00,100.52500000,20260616,2057558113.00000000,20468029.00000000,SGOV,USD,NYS,ETF,US46436E7186,SGOV.K,SGOV.K,40229731,20200526,0E-8,946950000.00,US,iShares 0-3 Month Treasury Bond ETF,1,USD,0,1100663,100.53000000,20468029.00000000,,Bond,United States of America,20260614
Bloomberg US 5-10 Yr Corporate Bond TR,0.030000,,Charles Schwab Investment Management Inc,Optimized,Y,,,"The Fund seeks total return of Bloomberg Barclays US 5-10 Year Corporate Bond Index which measures the performance of the intermediate-term US corporate bond market. The Fund invests at least 90% of its assets in the index which includes US investment grade, taxable corporate bonds with maturity of five to ten years.",20260614,N,22.58000000,22.60000000,20260616,pd65n101.tday_clpr,,0.000000,22.70000000,11453230000.00,,22.60000000,2026-06-14 00:00:00,22.63000000,20260616,28217634.00000000,1247104.00000000,SCHI,USD,AMX,ETF,US8085246986,SCHI.K,SCHI.K,40227009,20191010,0E-8,507000000.00,US,Schwab 5-10 Year Corporate Bond ETF,1,USD,0,1454889,22.60000000,1247104.00000000,,Bond,United States of America,20260614
NASDAQ US Rising Dividend Achievers TR USD,0.480000,,First Trust Advisors LP,Optimized,Y,,,The Fund seeks investment results that correspond generally to the price and yield (before the Fund's fees and expenses) of an index called the NASDAQ US Rising Dividend Achievers Index. The Fund normally invests at least 90% of its net assets in the common stock and depositary receipts that comprise the Index.,20260614,N,78.58000000,79.38000000,20260616,pd65n101.tday_clpr,,0.000000,79.87500000,23486420000.00,,79.29000000,2026-06-14 00:00:00,79.81000000,20260616,84384922.00000000,1060049.00000000,RDVY,USD,NAS,ETF,US33738R5063,RDVY.O,RDVY.O,40208019,20140106,0E-8,298850002.00,US,First Trust Rising Dividend Achievers ETF,1,USD,0,1552740,79.38000000,1060049.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.650000,,Sanjac Alpha LP,,,,,"The Fund seeks current income and total returns consistent with limited volatility and the preservation of capital. The Fund invest in a portfolio of income-oriented instruments principally consisting of investment-grade U.S. corporate and government debt obligations, mortgage-backed securities and preferred stocks.",20260614,N,25.11500000,25.05500000,20260616,pd65n101.tday_clpr,,0.000000,25.08000000,7530000.00,25.100000,24.91000000,2026-06-14 00:00:00,25.08000000,20260616,5373.00000000,215.00000000,SJCP,USD,NAS,ETF,US56170L6873,SJCP.O,SJCP.O,40302191,20240909,0E-8,300000.00,US,SanJac Alpha Core Plus Bond ETF,1,USD,0,1359057,25.05500000,215.00000000,,Bond,United States of America,20260614
Index is not provided by Management Company,0.750000,,Tidal Investments LLC,,,,,"The Fund seeks to provide long-term total returns. The Fund will also invest at least 80% of its net assets plus the amount of borrowings, in the equity securities of companies expected to benefit from shifts in the regulatory environment that are supportive of free market dynamics as determined by the Sub-Advisers.",20260614,N,21.87410000,22.16000000,20260616,pd65n101.tday_clpr,,0.000000,22.32500000,14440000.00,,22.16000000,2026-06-14 00:00:00,22.18000000,20260616,73538.00000000,3310.00000000,FMKT,USD,AMX,ETF,US8863641408,FMKT.K,FMKT.K,40303818,20250609,0E-8,660000.00,US,The Free Markets ETF,1,USD,0,1742912,22.16000000,3310.00000000,,Alternatives,United States of America,20260614
Invesco BulletShares Corporate Bond 2035 USD,0.100000,,Invesco Capital Management LLC,Optimized,Y,,,"The Fund seeks to track the investment results of the Invesco BulletShares USD Corporate Bond 2035 Index. The Underlying Index seeks to measure the performance of a portfolio of US dollar-denominated investment-grade municipal bonds with maturities or, in some cases, effective maturities, in the year 2035.",20260614,N,20.49500000,20.51500000,20260616,pd65n101.tday_clpr,,0.000000,20.56990000,,,20.51000000,2026-06-14 00:00:00,20.56000000,20260616,1541065.00000000,75013.00000000,BSCZ,USD,NAS,ETF,US46139W7598,BSCZ.O,BSCZ.O,40303852,20250611,0E-8,12750001.00,US,Invesco BulletShares 2035 Corporate Bond ETF,1,USD,0,1657201,20.51500000,75013.00000000,,Bond,United States of America,20260614
Index is not available on Lipper Database,0.290000,,Federated Investment Management Co,,,,,"The Fund seeks current income. The Fund primarily invests in a diversified portfolio of investment-grade, fixed-income securities consisting primarily of corporate debt securities. Under normal market conditions, the Fund's dollar-weighted average effective duration is expected to be within a range of 1.5 to 3.5 years.",20260614,N,24.17000000,24.18000000,20260616,pd65n101.tday_clpr,,0.000000,24.18000000,65670000.00,,24.18000000,2026-06-14 00:00:00,24.18000000,20260616,0E-8,0E-8,FCSH,USD,AMX,ETF,US31423L1070,FCSH.K,FCSH.K,40233191,20211216,0E-8,2720004.00,US,Federated Hermes Short Duration Corporate ETF,1,USD,0,1849998,24.18000000,0E-8,,Bond,United States of America,20260614
MSCI US IMI/Utilities 25/50 TR USD,0.084000,,Fidelity Management & Research Company LLC,Optimized,Y,,,"The Fund seeks investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Utilities Index. The Fund will invest at least 80% of its assets in securities of MSCI USA IMI Utilities Index which represents the performance of the utilities sector in the U.S. equity market.",20260614,N,57.54000000,57.88000000,20260616,pd65n101.tday_clpr,,0.000000,58.16000000,2346050000.00,,57.20000000,2026-06-14 00:00:00,57.60000000,20260616,20180975.00000000,348630.00000000,FUTY,USD,AMX,ETF,US3160928657,FUTY.K,FUTY.K,40205302,20131021,0E-8,40750000.00,US,Fidelity MSCI Utilities Index ETF,1,USD,0,945908,57.88000000,348630.00000000,,Equity,United States of America,20260614
Solactive Video Games & Esports USD,0.500000,,Global X Management Co LLC,Optimized,Y,,,The Fund seeks to provide investment results that correspond generally to the price and yield performance of the Solactive Video Games & Esports Index. The Index is designed to provide exposure to exchange-listed companies that are positioned to benefit from increased consumption related to video games and esports.,20260614,N,24.65000000,24.76220000,20260616,pd65n101.tday_clpr,,0.000000,24.86000000,62060000.00,,24.59000000,2026-06-14 00:00:00,24.59000000,20260616,212126.00000000,8561.00000000,HERO,USD,NAS,ETF,US37954Y3927,HERO.O,HERO.O,40228182,20191029,0E-8,2520000.00,US,Global X Video Games & Esports ETF,1,USD,0,1432353,24.76220000,8561.00000000,,Equity,Global,20260614
Index is not provided by Management Company,0.390000,,Morgan Stanley Investment Management Inc,,,,,"The Fund seeks to provide high current income exempt from regular federal income tax. The Fund primarily invest in high yield municipal obligations that are rated at the time of investment either Baa or lower by Moody's Investors Service, Inc. or BBB or, if unrated, determined by the adviser to be of comparable quality.",20260614,N,50.66830000,50.70000000,20260616,pd65n101.tday_clpr,,0.000000,50.80000000,56640000.00,,50.46000000,2026-06-14 00:00:00,50.46000000,20260616,619187.00000000,12211.00000000,EVYM,USD,NAS,ETF,US61774R7834,EVYM.O,EVYM.O,40303242,20250225,0E-8,1120001.00,US,Eaton Vance High Income Municipal ETF,1,USD,0,1676326,50.70000000,12211.00000000,,Bond,United States of America,20260614
60% S&P 500/40% Bloomberg US Aggregate TR,0.840000,,Aptus Capital Advisors LLC,,,,,The Fund seeks capital appreciation while managing downside risk. The Fund is an actively managed ETF that employs proprietary trend-based and sector rotation strategies developed by the investment Sub-Adviser. The Fund invests in shares of other ETFs based on a rules-based process managed by the Sub-Adviser.,20260614,N,36.15470000,35.90250000,20260616,pd65n101.tday_clpr,,0.000000,35.97000000,179950000.00,,35.79000000,2026-06-14 00:00:00,35.79000000,20260616,752958.00000000,20960.00000000,MSMR,USD,AMX,ETF,US26922B7745,MSMR.K,MSMR.K,40233234,20211116,0E-8,4975000.00,US,McElhenny Sheffield Managed Risk ETF,1,USD,0,1540305,35.90250000,20960.00000000,,Equity,United States of America,20260614
S&P 500 TR,0.450000,,Empowered Funds LLC,,,,,"The Fund seeks income and long-term capital appreciation. Under normal circumstances, the Fund will invest at least 80% of its net assets in dividend-paying securities of US companies. The Fund seeks to achieve its investment objective by investing in equity securities of small-, mid- and large- capitalization companies.",20260614,N,37.44000000,37.29000000,20260616,pd65n101.tday_clpr,,0.000000,37.66000000,240520000.00,,37.27000000,2026-06-14 00:00:00,37.51000000,20260616,934007.00000000,24942.00000000,TBG,USD,AMX,ETF,US02072L3758,TBG,TBG,40300187,20231106,0E-8,6420000.00,US,TBG Dividend Focus ETF,1,USD,0,1592900,37.29000000,24942.00000000,,Equity,United States of America,20260614
MSCI AC World ex USA TR USD,0.720000,,Baillie Gifford Overseas Ltd,,,,,The Fund seeks capital appreciation. The Fund invests in an international portfolio of common stocks and other equity securities of issuers located in countries of developed and emerging markets. The portfolio managers principally select companies without regard to the MSCI ACWI (ex U.S.) benchmark.,20260614,N,25.59500000,26.10500000,20260616,pd65n101.tday_clpr,,0.000000,26.27000000,90500000.00,,26.07000000,2026-06-14 00:00:00,26.10000000,20260616,269644.00000000,10317.00000000,BGCG,USD,NAS,ETF,US05686D3098,BGCG.O,BGCG.O,40222268,20171214,0E-8,3552839.00,US,Baillie Gifford International Concentrated Gr ETF,1,USD,0,2060280,26.10500000,10317.00000000,,Equity,Global Ex US,20260614
Utilities Select Sector TR,0.030000,,SSGA Funds Management Inc,Optimized,Y,,,"The Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Utilities Select Sector Index. Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the Index.",20260614,N,44.53000000,44.74000000,20260616,pd65n101.tday_clpr,,0.000000,44.99990000,22734350000.00,,44.19000000,2026-06-14 00:00:00,44.48000000,20260616,824105170.00000000,18435204.00000000,XLU,USD,AMX,ETF,US81369Y8865,XLU,XLU,40061132,19981216,0E-8,510498320.00,US,State Street Utilities Select Sector SPDR ETF,1,USD,0,1064641,44.74000000,18435204.00000000,,Equity,United States of America,20260614
S&P 500 TR,0.700000,,Retireful LLC,,,,,The Fund seeks to provide capital appreciation. The Fund primarily invests in ETFs that invest in equity securities of any market capitalization including convertible equity securities and fixed income ETFs. The Fund is ideal for investors seeking long-term capital appreciation while minimizing principal fluctuation.,20260614,N,32.23960000,33.24290000,20260616,pd65n101.tday_clpr,,0.000000,33.25500000,16110000.00,32.220000,33.20000000,2026-06-14 00:00:00,33.20000000,20260616,22685.00000000,683.00000000,RULE,USD,AMX,ETF,US19423L5811,RULE.K,RULE.K,40232681,20211102,0E-8,500000.00,US,Adaptive Core ETF,1,USD,0,1719812,33.24290000,683.00000000,,Mixed Assets,United States of America,20260614
Index is not available on Lipper Database,0.100000,,Invesco Capital Management LLC,Optimized,Y,,,"The Fund seeks investment results that correspond to the performance, before the Fund's fees and expenses, of a high yield corporate bond index called the NASDAQ BulletShares USD High Yield Corporate Bond 2028 Index. The Fund will invest at least 80% of its total assets in securities that are components of the Index.",20260614,N,20.41500000,20.43000000,20260616,pd65n101.tday_clpr,,0.000000,20.44000000,3498130000.00,,20.42000000,2026-06-14 00:00:00,20.42000000,20260616,12359018.00000000,604952.00000000,BSCS,USD,NAS,ETF,US46138J6432,BSCS.O,BSCS.O,40224707,20180809,0E-8,171450001.00,US,Invesco BulletShares 2028 Corporate Bond ETF,1,USD,0,1657201,20.43000000,604952.00000000,,Bond,United States of America,20260614
S&P 500 TR,0.120000,,Principal Global Investors LLC,,,,,The Fund seeks long-term growth of capital. The Fund invests at least 80% of its net assets in equity securities of US companies with very large market capitalizations in the top 50th of the S&P 500 Index. The Fund uses a proprietary quantitative model to identify securities that have the largest market capitalizations.,20260614,N,72.65000000,74.04000000,20260616,pd65n101.tday_clpr,,0.000000,74.17000000,3421700000.00,,73.60000000,2026-06-14 00:00:00,73.60000000,20260616,3556739.00000000,48065.00000000,USMC,USD,NAS,ETF,US74255Y8701,USMC.O,USMC.O,40222177,20171011,0E-8,47080001.00,US,Principal US Mega-Cap ETF,1,USD,0,1572661,74.04000000,48065.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.360000,,Dimensional Fund Advisors LP,,,,,The Fund seeks to achieve long-term capital appreciation. The Fund pays transaction costs when it buys and sells securities and may purchase or sell futures contracts and options on futures contracts for U.S. equity securities and indices. The Fund may lend its portfolio securities to generate additional income.,20260614,N,58.81000000,58.62000000,20260616,pd65n101.tday_clpr,,0.000000,59.64000000,141060000.00,58.775000,58.62000000,2026-06-14 00:00:00,59.64000000,20260616,806135.00000000,13701.00000000,DFMC,USD,AMX,ETF,US25239Y2384,DFMC.K,DFMC.K,40306365,20260319,0E-8,2400000.00,US,DFA US Micro Cap Portfolio;ETF,1,USD,0,355437,58.62000000,13701.00000000,,Equity,United States of America,20260614
S&P 500 TR,0.640000,,Nuveen Fund Advisors LLC,,,,,"The Fund seeks an attractive total return comprised of income from dividends and long-term capital appreciation. Under normal market conditions, the Fund invests at least 80% of the sum of its net assets in dividend-paying exchange-traded equity securities, which include common stocks and preferred securities.",20260614,N,33.54370000,33.67760000,20260406,pd65n101.tday_clpr,,,33.67760000,13140000.00,,33.30000000,2026-06-14 00:00:00,33.30000000,20260407,16017.00000000,481.00000000,NDVG,USD,AMX,ETF,US67092P8216,NDVG.K,NDVG.K,40232655,20210804,0E-8,390000.00,US,Nuveen Dividend Growth ETF,1,USD,0,1635073,33.67760000,481.00000000,,Equity,United States of America,20260614
